"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Paces","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","02:54:17    ","02:54:01    ","21.94","800","801","00:07:57    ","00:07:56    ","00:00:00    ","81","105","92","--","--","21","113"
"Summary","02:54:17    ","02:54:01    ","21.94","800","801","00:07:57    ","00:07:56    ","00:00:00    ","81","105","88","--","--","21","113"
